Title of Award,Final Due Date - Month,Final Due Date - Day,Level,Mode of Application,Award for,Type of Award,Internal Due Date,Requirements,Previous Awardees,Link to Award
Professional Advisor of the Year,,,university,Recognition Committee Reviewed,Staff,,24-Nov,Must have full-time advisors to apply for the award.,,https://aa.ufl.edu/awards/uf-internal-awards/teacher--adviser-of-the-year/
2025-2026 Faculty Doctoral Dissertation Advisor Award,11,10,university,Recognition Committee Reviewed,Faculty,"$3,000",20-Oct,,,https://graduateschool.ufl.edu/media/gradufledu/pdf/fdma-guidelines-forms.pdf
AAW Madelyn Lockhart Fellowhip,1,20,university,Recognition Committee Reviewed,Graduate Student,"$2,000",15-Nov,Must be a full-time PhD candidate.,,https://grad.ufl.edu/gss/funding/lockhart/
Academy of Distinguished Teaching Scholars (ADTS),1,9,university,Recognition Committee Reviewed,Faculty,$3000 for 3 years,21-Nov,"Tenured, Associate level or higher.",,https://fora.aa.ufl.edu/Provost/Pages/Academy-of-Distinguished-Teaching-Scholars/Overview
Faculty Advisor/Mentor of the Year,,,university,Recognition Committee Reviewed,Faculty,,24-Nov,Requirement: All full-time faculty are eligible to apply for the award.,,https://aa.ufl.edu/awards/uf-internal-awards/teacher--adviser-of-the-year/
Undergraduate Teacher of the Year,,,"university, college, department",Recognition Committee Reviewed,Faculty,,24-Nov,Must be a full-time faculty member,,https://aa.ufl.edu/awards/uf-internal-awards/teacher--adviser-of-the-year/
UF CTE Affordable Access Awards,1,20,university,Apply independently - self-nominations allowed,"Staff, Faculty",Trophy,,Demonstrated commitment to addressing textbook affordability and open education principles by faculty and staff.,"Ashish Aggarwal, Amanpreet Kapoor",https://teach.ufl.edu/awards
UF CTE Exemplary Online Teaching Award,1,20,university,Apply independently - self-nominations allowed,Faculty,Course award/Trophy,,Earned an Exemplary designation for the online course via the COIP QM process.,"John Mendoza-Garcia, Idalis Villanueva-Alarcón",https://teach.ufl.edu/awards
UF CTE Online Educator of the Year Award ,1,20,university,Apply independently - self-nominations allowed,Faculty,"$4,000",,Taught a UF Online course,Amanpreet Kapoor,https://teach.ufl.edu/awards
UF CTE Rising Star Award ,1,20,university,Apply independently - self-nominations allowed,Faculty,Trophy,,Several requirements such as training and workshop attendance: https://teach.ufl.edu/rising-star-award-requirements/,"Catia Silva, John Mendoza-Garcia",https://teach.ufl.edu/awards
UF CTE Trailblazers: Online Education Professional Awards  ,1,20,university,Apply independently - self-nominations allowed,Staff,Trophy,,"Academic support staff who support online education at the University of Florida, but do not serve in an instructional role or instructional capacity",,https://teach.ufl.edu/awards
University of Florida Career Influencer Awards ,3,15,university,Apply independently - self-nominations allowed,"Faculty, Staff",,,https://ufl.qualtrics.com/jfe/form/SV_cIRndUIztDLvABU,"IPPD, G. Chip Johnson, Amanpreet Kapoor",https://career.ufl.edu/faculty/faculty-staff-career-symposium/career-influencer-awards/
IEEE/ASEE New Faculty Fellows Award,9,,national,Apply independently - self-nominations allowed,Faculty,"$1,000.00",,"Nomination letter, CV, Letter of Agreement","Edwin Marte, Andrea Ramirez-Salgado","2025 New Faculty Fellows Award | Frontiers in Education 2025 - FIE 2025 | Nashville, Tennessee, USA (link chnages )"
UF Supplemental Retention Scholarship,11,10,university,Apply independently - self-nominations allowed,Graduate Student,Scholarship for last semester of grad school,,Must be a graduate student entering their final semester.,,https://grad.ufl.edu/media/gradufledu/pdf/srs-app.pdf
NSF Graduate Research Fellowship Program,11,13,national,Apply independently - self-nominations allowed,Graduate Student,"$37,000 stipend and $16,000 cost of education",,First-year graduate student with permanent resident status.,,https://www.nsf.gov/funding/opportunities/grfp-nsf-graduate-research-fellowship-program/nsf25-547/solicitation
